excec memoryUsed freeBlocks rounds avgsize
1.0 50768 59 806 860
1.0 50736 59 807 860
1.0 50736 58 808 875
1.0 50800 58 809 876
1.0 50856 58 810 877
1.0 50888 57 811 893
0.0 50904 56 812 909
1.0 50960 55 813 927
1.0 50952 55 814 926
1.0 51008 55 815 927
0.0 50896 55 816 925
1.0 51024 55 817 928
1.0 51000 56 818 911
1.0 51016 56 819 911
0.0 50976 56 820 910
1.0 50976 55 821 927
1.0 50960 55 822 927
1.0 51008 55 823 927
1.0 51112 56 824 913
0.0 51080 56 825 912
1.0 51160 56 826 914
1.0 51192 56 827 914
1.0 51144 56 828 913
0.0 51160 56 829 914
1.0 51144 56 830 913
1.0 51216 55 831 931
1.0 51256 54 832 949
1.0 51272 54 833 949
1.0 51272 53 834 967
1.0 51280 53 835 968
0.0 51192 52 836 984
1.0 51168 52 837 984
1.0 51168 52 838 984
1.0 51208 52 839 985
0.0 51136 52 840 983
1.0 51072 53 841 964
1.0 51008 52 842 981
1.0 51048 51 843 1001
0.0 51048 51 844 1001
1.0 51048 51 845 1001
1.0 51032 51 846 1001
1.0 51040 51 847 1001
1.0 50992 52 848 981
1.0 51056 53 849 963
1.0 51008 54 850 945
1.0 51088 54 851 946
1.0 51032 54 852 945
1.0 51128 55 853 930
1.0 51096 55 854 929
0.0 51096 55 855 929
0.0 51104 55 856 929
1.0 51088 56 857 912
1.0 51064 56 858 912
1.0 51048 56 859 912
1.0 51056 55 860 928
1.0 50976 56 861 910
1.0 51000 55 862 927
1.0 50960 56 863 910
1.0 50968 55 864 927
1.0 50968 55 865 927
1.0 50960 54 866 944
1.0 50960 54 867 944
1.0 50912 54 868 943
1.0 50976 54 869 944
1.0 50928 55 870 926
1.0 51056 56 871 912
1.0 51056 56 872 912
2.0 51048 55 873 928
1.0 50952 54 874 944
1.0 50936 54 875 943
2.0 50904 53 876 960
1.0 50904 53 877 960
1.0 50928 53 878 961
1.0 50928 53 879 961
1.0 50928 53 880 961
1.0 50880 54 881 942
1.0 50880 54 882 942
1.0 50800 54 883 941
1.0 50800 54 884 941
1.0 50736 54 885 940
1.0 50648 55 886 921
1.0 50752 54 887 940
1.0 50792 55 888 923
1.0 50792 55 889 923
1.0 50704 56 890 905
1.0 50576 56 891 903
1.0 50600 56 892 904
1.0 50640 56 893 904
2.0 50632 56 894 904
1.0 50680 56 895 905
1.0 50560 56 896 903
1.0 50576 56 897 903
1.0 50512 56 898 902
1.0 50544 55 899 919
1.0 50504 56 900 902
1.0 50536 56 901 902
1.0 50552 56 902 903
1.0 50584 56 903 903
1.0 50544 57 904 887
1.0 50536 57 905 887
2.0 50488 57 906 886
1.0 50392 56 907 900
1.0 50408 56 908 900
1.0 50376 56 909 900
1.0 50400 55 910 916
1.0 50392 55 911 916
1.0 50480 56 912 901
1.0 50496 56 913 902
1.0 50480 56 914 901
1.0 50480 56 915 901
1.0 50560 55 916 919
1.0 50488 54 917 935
1.0 50416 54 918 934
1.0 50272 54 919 931
1.0 50272 54 920 931
2.0 50144 54 921 929
