excec memoryUsed freeBlocks rounds avgsize
1.0 50736 491 799 103
1.0 50768 492 800 103
1.0 50656 492 801 103
1.0 50576 493 802 103
1.0 50648 494 803 103
1.0 50624 495 804 102
1.0 50600 496 805 102
1.0 50560 497 806 102
1.0 50552 498 807 102
1.0 50552 498 808 102
1.0 50616 499 809 101
1.0 50672 500 810 101
1.0 50704 501 811 101
1.0 50704 501 812 101
0.0 50760 502 813 101
1.0 50760 502 814 101
1.0 50816 503 815 101
2.0 50744 504 816 101
1.0 50856 505 817 101
0.0 50824 505 818 101
1.0 50824 505 819 101
1.0 50784 506 820 100
1.0 50784 507 821 100
1.0 50768 508 822 100
1.0 50840 509 823 100
1.0 50920 510 824 100
1.0 50904 511 825 100
1.0 50976 512 826 100
1.0 51008 513 827 99
1.0 50968 514 828 99
0.0 51000 515 829 99
1.0 50984 516 830 99
0.0 51056 517 831 99
1.0 51096 518 832 99
1.0 51096 518 833 99
1.0 51096 518 834 99
0.0 51096 518 835 99
1.0 51008 519 836 98
1.0 50984 520 837 98
1.0 50984 521 838 98
0.0 50984 521 839 98
1.0 50928 522 840 98
1.0 50864 523 841 97
5.0 50800 524 842 97
0.0 50840 525 843 97
0.0 50840 525 844 97
1.0 50840 525 845 97
1.0 50808 526 846 97
1.0 50808 526 847 97
1.0 50776 527 848 96
1.0 50816 528 849 96
1.0 50760 529 850 96
1.0 50840 530 851 96
1.0 50792 531 852 96
1.0 50888 532 853 96
0.0 50856 532 854 96
1.0 50856 533 855 95
1.0 50856 533 856 95
2.0 50840 534 857 95
1.0 50800 535 858 95
1.0 50784 536 859 95
1.0 50784 536 860 95
1.0 50712 537 861 94
1.0 50712 537 862 94
1.0 50672 538 863 94
0.0 50672 538 864 94
1.0 50672 539 865 94
1.0 50672 540 866 94
1.0 50672 540 867 94
1.0 50640 541 868 94
2.0 50704 542 869 94
2.0 50672 543 870 93
1.0 50784 544 871 93
1.0 50784 545 872 93
2.0 50784 546 873 93
1.0 50720 547 874 93
1.0 50704 548 875 93
1.0 50696 549 876 92
1.0 50696 550 877 92
2.0 50736 551 878 92
1.0 50736 551 879 92
