excec memoryUsed freeBlocks rounds avgsize
5.0 54376 69 996 788
5.0 54336 68 997 799
5.0 54248 69 998 786
5.0 54240 69 999 786
4.0 54296 70 1000 776
5.0 54288 70 1001 776
4.0 54240 70 1002 775
4.0 54168 70 1003 774
5.0 54128 70 1004 773
5.0 54008 70 1005 772
4.0 53880 70 1006 770
5.0 53928 69 1007 782
5.0 53960 69 1008 782
5.0 53880 68 1009 792
6.0 53912 68 1010 793
4.0 53872 68 1011 792
4.0 53888 68 1012 792
5.0 53872 68 1013 792
4.0 53904 68 1014 793
4.0 53864 68 1015 792
5.0 53872 68 1016 792
5.0 53792 67 1017 803
4.0 53792 66 1018 815
4.0 53840 67 1019 804
4.0 53872 67 1020 804
6.0 54000 67 1021 806
5.0 54008 67 1022 806
5.0 54008 67 1023 806
5.0 54056 67 1024 807
5.0 53976 66 1025 818
4.0 54096 66 1026 820
6.0 54152 67 1027 808
5.0 54040 67 1028 807
5.0 54048 67 1029 807
4.0 54056 66 1030 819
4.0 54088 67 1031 807
4.0 54216 67 1032 809
4.0 54176 66 1033 821
5.0 54256 66 1034 822
6.0 54320 65 1035 836
4.0 54320 65 1036 836
4.0 54400 65 1037 837
4.0 54376 66 1038 824
3.0 54296 66 1039 823
4.0 54304 66 1040 823
6.0 54184 66 1041 821
6.0 54272 66 1042 822
4.0 54272 66 1043 822
5.0 54208 67 1044 809
4.0 54064 66 1045 819
4.0 54048 66 1046 819
4.0 54048 66 1047 819
5.0 53944 66 1048 817
5.0 53888 65 1049 829
6.0 53752 65 1050 827
5.0 53696 65 1051 826
4.0 53592 64 1052 837
4.0 53632 64 1053 838
4.0 53608 65 1054 825
4.0 53560 65 1055 824
5.0 53576 65 1056 824
5.0 53488 65 1057 823
4.0 53424 65 1058 822
5.0 53424 65 1059 822
4.0 53432 64 1060 835
5.0 53408 64 1061 834
5.0 53400 63 1062 848
5.0 53336 63 1063 847
5.0 53296 63 1064 846
5.0 53256 63 1065 845
5.0 53256 63 1066 845
5.0 53328 63 1067 846
6.0 53360 63 1068 847
4.0 53336 64 1069 833
5.0 53368 64 1070 834
